power,flow_rate,PVP_conc,transmittance,resistance
0.05,100,0,90.5,201
0.05,150,0,85.2,35.2
0.05,200,0,83.1,22.1
0.05,300,0,71.1,7.6
0.1,100,0,90.5,201
0.1,150,0,85.2,35.2
0.1,200,0,83.1,22.1
0.1,300,0,71.1,7.6
0.2,100,0,88.2,91.3
0.2,150,0,84.3,24.5
0.2,200,0,79.5,14.9
0.2,300,0,68.4,9
0.3,100,0,90.4,2400
0.3,150,0,84.7,37
0.3,200,0,81.8,22.5
0.3,300,0,73,9.8
0.5,100,0,89.5,783
0.5,150,0,83.8,35
0.5,200,0,78,16.2
0.5,300,0,70.5,8.6
1,100,0,89.9,695
1,150,0,81.9,25.1
1,200,0,79.4,16.9
1,300,0,71.2,9.6
0.05,100,0.5,81.1,23.1
0.05,150,0.5,73.8,13.8
0.05,200,0.5,65.9,10.5
0.05,300,0.5,51.8,7.4
0.1,100,0.5,80.1,22.8
0.1,150,0.5,72.5,13.1
0.1,200,0.5,64.2,9.8
0.1,300,0.5,53.2,8.6
0.2,100,0.5,81.8,35.5
0.2,150,0.5,72.8,14.9
0.2,200,0.5,64,11.1
0.2,300,0.5,52.5,8.3
0.3,100,0.5,81.6,87.3
0.3,150,0.5,72.1,22.5
0.3,200,0.5,63.7,14.6
0.3,300,0.5,50.9,9.4
0.5,100,0.5,80.7,81.7
0.5,150,0.5,73.6,41.3
0.5,200,0.5,65.3,22.7
0.5,300,0.5,51.1,11.4
1,100,0.5,81.8,4300
1,150,0.5,73.6,250
1,200,0.5,67.5,41.9
1,300,0.5,48.1,18.1
0.05,100,0.1,84.7,12.8
0.05,150,0.1,76.9,7.3
0.05,200,0.1,70.4,4.9
0.05,300,0.1,57.8,2.8
0.1,150,0.1,78.4,7.4
0.1,200,0.1,71.8,5
0.1,300,0.1,59.9,3.2
0.2,100,0.1,84.8,15.7
0.2,150,0.1,79.3,8.1
0.2,200,0.1,72.1,5.3
0.2,300,0.1,60.3,3.2
0.3,100,0.1,84.6,15.5
0.3,150,0.1,76.7,7.3
0.3,200,0.1,69.5,4.8
0.3,300,0.1,59.6,3.4
0.5,100,0.1,84.3,24.4
0.5,150,0.1,77.4,8.9
0.5,200,0.1,68.7,5.4
0.5,300,0.1,58.3,3.2
1,100,0.1,92.3,155.6
1,150,0.1,78.8,8.6
1,200,0.1,70.9,5.5
1,300,0.1,60.3,3.4
0.05,100,0.2,81.1,12.8
0.05,150,0.2,71.8,6.8
0.05,200,0.2,62.7,4.8
0.05,300,0.2,47.9,3
0.1,100,0.2,80.6,13.6
0.1,150,0.2,70.1,6.5
0.1,200,0.2,63.9,4.9
0.1,300,0.2,50.7,3.3
0.2,100,0.2,80,13
0.2,150,0.2,71.7,7.2
0.2,200,0.2,64.1,5
0.2,300,0.2,50.8,3.5
0.3,100,0.2,82.1,21
0.3,150,0.2,77.9,11.3
0.3,200,0.2,71.9,7.2
0.3,300,0.2,50.6,3.4
0.5,100,0.2,77.8,15.4
0.5,150,0.2,71.3,9.5
0.5,200,0.2,62.9,5.7
0.5,300,0.2,49.5,3.4
1,100,0.2,85.1,29.7
1,150,0.2,75.7,10.2
1,200,0.2,67.2,6.3
1,300,0.2,46.8,3.2
